original_source_root,original_path,new_path,action_taken,notes
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,render-triage-quality-chart.ps1,scripts/auto-soc/render-triage-quality-chart.ps1,copied,Quality visualization from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,show-achievements.ps1,scripts/auto-soc/show-achievements.ps1,copied,Summary reporting from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,capture-passfile-acl.ps1,scripts/auto-soc/capture-passfile-acl.ps1,copied,ACL auditing from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,import-manager-agents.ps1,scripts/auto-soc/import-manager-agents.ps1,copied,Agent inventory import from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,coverage-diagnose.ps1,scripts/auto-soc/coverage-diagnose.ps1,copied,Coverage diagnostics from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc,validate_runs_contract.ps1,scripts/auto-soc/validate_runs_contract.ps1,copied,Run artifact validation from Source B
Z:\Intake\from_OPS\system\Configs\AutoSOC,policy.yaml,scripts/auto-soc/config/policy.yaml,copied,ONLY in Source A - triage thresholds and rules
Z:\Intake\from_OPS\system\Configs\AutoSOC,known_fps.yaml,scripts/auto-soc/config/known_fps.yaml,copied,ONLY in Source A - false positive patterns
Z:\Intake\from_OPS\system\Configs\AutoSOC,agent_inventory.json,scripts/auto-soc/config/agent_inventory.json,copied,ONLY in Source A - host coverage definitions
Z:\Intake\from_OPS\system\Automation\AutoSOC,canonical_baseline.json,scripts/auto-soc/config/canonical_baseline.json,copied,Locked metrics baseline from Source A
Z:\Intake\from_OPS\system\Configs\AutoSOC\secrets,wazuh_indexer_pass.txt,scripts/auto-soc/config/secrets/wazuh_indexer_pass.txt.TEMPLATE,templated,Secret file converted to template
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc\tests,test_triage.py,scripts/auto-soc/tests/test_triage.py,copied,Triage unit tests from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc\tests,test_redact.py,scripts/auto-soc/tests/test_redact.py,copied,Redaction tests from Source B
Z:\Intake\from_RH_OPS\50_System\Scripts\Automation\auto-soc\templates,portfolio.gitignore.snippet,scripts/auto-soc/templates/portfolio.gitignore.snippet,copied,Gitignore template from Source B
Z:\Intake\from_RH_OPS\30_Projects\Active\AutoSOC\Build\Cases,*,Z:\AutoSOC\data\Cases\,copied,2508 case directories from Source B (operational data)
Z:\Intake\from_RH_OPS\30_Projects\Active\AutoSOC\Build\Queue,*,Z:\AutoSOC\data\Queue\,copied,Alert queue from Source B (operational data)
Z:\Intake\from_RH_OPS\30_Projects\Active\AutoSOC\Output,*,Z:\AutoSOC\data\Output\,copied,Ledger + metrics + escalation staging from Source B
Z:\Intake\from_OPS\system\Logs\AutoSOC\Runtime,*,Z:\AutoSOC\logs\Runtime\,copied,Runtime logs from Source A (most complete)
Z:\Intake\from_OPS\system\Logs\AutoSOC\Reports,*,Z:\AutoSOC\logs\Reports\,copied,Reports from Source A (most complete)
Z:\Intake\from_OPS\system\Logs\AutoSOC\Indexes,*,Z:\AutoSOC\logs\Indexes\,copied,Global + monthly indexes from Source A
Z:\Intake\from_OPS\system\Logs\AutoSOC\Runs,*,Z:\AutoSOC\logs\Runs\,copied,Run manifests from Source A
